=> Saving data in Logs/FRL~try=966
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_train_agnostic_val
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.2107 test loss 2.257366 best test_acc 0.2107
e 1 | malicious users: 5 | test acc 0.3379 test loss 1.987394 best test_acc 0.3379
e 2 | malicious users: 5 | test acc 0.4486 test loss 1.966268 best test_acc 0.4486
e 3 | malicious users: 5 | test acc 0.4427 test loss 1.560567 best test_acc 0.4486
e 4 | malicious users: 5 | test acc 0.3221 test loss 1.783261 best test_acc 0.4486
e 5 | malicious users: 5 | test acc 0.5555 test loss 1.534562 best test_acc 0.5555
e 6 | malicious users: 5 | test acc 0.5573 test loss 1.390046 best test_acc 0.5573
e 7 | malicious users: 5 | test acc 0.5593 test loss 1.227217 best test_acc 0.5593
e 8 | malicious users: 5 | test acc 0.6176 test loss 1.162155 best test_acc 0.6176
e 9 | malicious users: 5 | test acc 0.7026 test loss 0.973729 best test_acc 0.7026
e 10 | malicious users: 5 | test acc 0.6527 test loss 1.130023 best test_acc 0.7026
e 11 | malicious users: 5 | test acc 0.6651 test loss 0.949951 best test_acc 0.7026
e 12 | malicious users: 5 | test acc 0.7219 test loss 1.002108 best test_acc 0.7219
e 13 | malicious users: 5 | test acc 0.7758 test loss 0.775419 best test_acc 0.7758
e 14 | malicious users: 5 | test acc 0.5610 test loss 1.160378 best test_acc 0.7758
e 15 | malicious users: 5 | test acc 0.6590 test loss 0.949319 best test_acc 0.7758
e 16 | malicious users: 5 | test acc 0.7687 test loss 0.762305 best test_acc 0.7758
e 17 | malicious users: 5 | test acc 0.7159 test loss 0.893929 best test_acc 0.7758
e 18 | malicious users: 5 | test acc 0.7573 test loss 1.020623 best test_acc 0.7758
e 19 | malicious users: 5 | test acc 0.8141 test loss 0.857706 best test_acc 0.8141
e 20 | malicious users: 5 | test acc 0.7793 test loss 0.685177 best test_acc 0.8141
e 21 | malicious users: 5 | test acc 0.6846 test loss 0.923130 best test_acc 0.8141
e 22 | malicious users: 5 | test acc 0.6493 test loss 1.008123 best test_acc 0.8141
e 23 | malicious users: 5 | test acc 0.7719 test loss 0.716283 best test_acc 0.8141
e 24 | malicious users: 5 | test acc 0.7736 test loss 0.831194 best test_acc 0.8141
e 25 | malicious users: 5 | test acc 0.8187 test loss 0.767010 best test_acc 0.8187
e 26 | malicious users: 5 | test acc 0.8014 test loss 0.652941 best test_acc 0.8187
e 27 | malicious users: 5 | test acc 0.7177 test loss 0.819216 best test_acc 0.8187
e 28 | malicious users: 5 | test acc 0.8000 test loss 0.771206 best test_acc 0.8187
e 29 | malicious users: 5 | test acc 0.6832 test loss 0.823330 best test_acc 0.8187
e 30 | malicious users: 5 | test acc 0.6139 test loss 1.036456 best test_acc 0.8187
e 31 | malicious users: 5 | test acc 0.7927 test loss 0.681789 best test_acc 0.8187
e 32 | malicious users: 5 | test acc 0.7627 test loss 0.637662 best test_acc 0.8187
e 33 | malicious users: 5 | test acc 0.7827 test loss 0.757327 best test_acc 0.8187
e 34 | malicious users: 5 | test acc 0.7209 test loss 0.749554 best test_acc 0.8187
e 35 | malicious users: 5 | test acc 0.8558 test loss 0.659662 best test_acc 0.8558
e 36 | malicious users: 5 | test acc 0.8057 test loss 0.685802 best test_acc 0.8558
e 37 | malicious users: 5 | test acc 0.7856 test loss 0.754897 best test_acc 0.8558
e 38 | malicious users: 5 | test acc 0.7977 test loss 0.710653 best test_acc 0.8558
e 39 | malicious users: 5 | test acc 0.7734 test loss 0.741038 best test_acc 0.8558
e 40 | malicious users: 5 | test acc 0.8106 test loss 0.585951 best test_acc 0.8558
e 41 | malicious users: 5 | test acc 0.7517 test loss 0.806800 best test_acc 0.8558
e 42 | malicious users: 5 | test acc 0.8339 test loss 0.655263 best test_acc 0.8558
e 43 | malicious users: 5 | test acc 0.7722 test loss 0.691604 best test_acc 0.8558
e 44 | malicious users: 5 | test acc 0.7611 test loss 0.774520 best test_acc 0.8558
e 45 | malicious users: 5 | test acc 0.8059 test loss 0.743101 best test_acc 0.8558
e 46 | malicious users: 5 | test acc 0.7146 test loss 0.878293 best test_acc 0.8558
e 47 | malicious users: 5 | test acc 0.7906 test loss 0.664805 best test_acc 0.8558
e 48 | malicious users: 5 | test acc 0.8361 test loss 0.600575 best test_acc 0.8558
e 49 | malicious users: 5 | test acc 0.7489 test loss 0.786748 best test_acc 0.8558
e 50 | malicious users: 5 | test acc 0.8921 test loss 0.529308 best test_acc 0.8921
e 51 | malicious users: 5 | test acc 0.7672 test loss 0.699903 best test_acc 0.8921
e 52 | malicious users: 5 | test acc 0.7896 test loss 0.711317 best test_acc 0.8921
e 53 | malicious users: 5 | test acc 0.6031 test loss 1.012004 best test_acc 0.8921
e 54 | malicious users: 5 | test acc 0.7788 test loss 0.628577 best test_acc 0.8921
e 55 | malicious users: 5 | test acc 0.8123 test loss 0.615155 best test_acc 0.8921
e 56 | malicious users: 5 | test acc 0.7681 test loss 0.777626 best test_acc 0.8921
e 57 | malicious users: 5 | test acc 0.7259 test loss 0.725537 best test_acc 0.8921
e 58 | malicious users: 5 | test acc 0.8014 test loss 0.699371 best test_acc 0.8921
e 59 | malicious users: 5 | test acc 0.8262 test loss 0.561064 best test_acc 0.8921
e 60 | malicious users: 5 | test acc 0.8174 test loss 0.764857 best test_acc 0.8921
e 61 | malicious users: 5 | test acc 0.9000 test loss 0.481037 best test_acc 0.9000
e 62 | malicious users: 5 | test acc 0.7449 test loss 0.811111 best test_acc 0.9000
e 63 | malicious users: 5 | test acc 0.8497 test loss 0.619289 best test_acc 0.9000
e 64 | malicious users: 5 | test acc 0.8542 test loss 0.642068 best test_acc 0.9000
e 65 | malicious users: 5 | test acc 0.8289 test loss 0.697854 best test_acc 0.9000
e 66 | malicious users: 5 | test acc 0.8068 test loss 0.652938 best test_acc 0.9000
e 67 | malicious users: 5 | test acc 0.7901 test loss 0.824516 best test_acc 0.9000
e 68 | malicious users: 5 | test acc 0.7935 test loss 0.697712 best test_acc 0.9000
e 69 | malicious users: 5 | test acc 0.7600 test loss 0.723175 best test_acc 0.9000
e 70 | malicious users: 5 | test acc 0.8336 test loss 0.577511 best test_acc 0.9000
e 71 | malicious users: 5 | test acc 0.7893 test loss 0.814556 best test_acc 0.9000
e 72 | malicious users: 5 | test acc 0.8556 test loss 0.462526 best test_acc 0.9000
e 73 | malicious users: 5 | test acc 0.7492 test loss 0.752603 best test_acc 0.9000
e 74 | malicious users: 5 | test acc 0.8243 test loss 0.599355 best test_acc 0.9000
e 75 | malicious users: 5 | test acc 0.7283 test loss 0.729069 best test_acc 0.9000
e 76 | malicious users: 5 | test acc 0.7541 test loss 0.817698 best test_acc 0.9000
e 77 | malicious users: 5 | test acc 0.8563 test loss 0.729053 best test_acc 0.9000
e 78 | malicious users: 5 | test acc 0.8787 test loss 0.389905 best test_acc 0.9000
e 79 | malicious users: 5 | test acc 0.8882 test loss 0.446475 best test_acc 0.9000
e 80 | malicious users: 5 | test acc 0.8398 test loss 0.654272 best test_acc 0.9000
e 81 | malicious users: 5 | test acc 0.7882 test loss 0.636580 best test_acc 0.9000
e 82 | malicious users: 5 | test acc 0.8183 test loss 0.602374 best test_acc 0.9000
e 83 | malicious users: 5 | test acc 0.8775 test loss 0.482635 best test_acc 0.9000
e 84 | malicious users: 5 | test acc 0.7485 test loss 0.801820 best test_acc 0.9000
e 85 | malicious users: 5 | test acc 0.8311 test loss 0.708578 best test_acc 0.9000
e 86 | malicious users: 5 | test acc 0.7013 test loss 0.947597 best test_acc 0.9000
e 87 | malicious users: 5 | test acc 0.7219 test loss 0.765900 best test_acc 0.9000
e 88 | malicious users: 5 | test acc 0.6899 test loss 0.795479 best test_acc 0.9000
e 89 | malicious users: 5 | test acc 0.8099 test loss 0.645498 best test_acc 0.9000
e 90 | malicious users: 5 | test acc 0.8673 test loss 0.591610 best test_acc 0.9000
e 91 | malicious users: 5 | test acc 0.8143 test loss 0.589931 best test_acc 0.9000
e 92 | malicious users: 5 | test acc 0.8867 test loss 0.468689 best test_acc 0.9000
e 93 | malicious users: 5 | test acc 0.9053 test loss 0.565385 best test_acc 0.9053
e 94 | malicious users: 5 | test acc 0.7922 test loss 0.642382 best test_acc 0.9053
e 95 | malicious users: 5 | test acc 0.8558 test loss 0.642916 best test_acc 0.9053
e 96 | malicious users: 5 | test acc 0.8614 test loss 0.479149 best test_acc 0.9053
e 97 | malicious users: 5 | test acc 0.8197 test loss 0.601686 best test_acc 0.9053
e 98 | malicious users: 5 | test acc 0.8172 test loss 0.613215 best test_acc 0.9053
e 99 | malicious users: 5 | test acc 0.8208 test loss 0.650638 best test_acc 0.9053
e 100 | malicious users: 5 | test acc 0.8077 test loss 0.602838 best test_acc 0.9053
e 101 | malicious users: 5 | test acc 0.7945 test loss 0.568610 best test_acc 0.9053
e 102 | malicious users: 5 | test acc 0.8138 test loss 0.576644 best test_acc 0.9053
e 103 | malicious users: 5 | test acc 0.8323 test loss 0.586380 best test_acc 0.9053
e 104 | malicious users: 5 | test acc 0.8994 test loss 0.511232 best test_acc 0.9053
e 105 | malicious users: 5 | test acc 0.8630 test loss 0.557677 best test_acc 0.9053
e 106 | malicious users: 5 | test acc 0.8142 test loss 0.559144 best test_acc 0.9053
e 107 | malicious users: 5 | test acc 0.7056 test loss 0.886545 best test_acc 0.9053
e 108 | malicious users: 5 | test acc 0.8223 test loss 0.639245 best test_acc 0.9053
e 109 | malicious users: 5 | test acc 0.8657 test loss 0.655947 best test_acc 0.9053
e 110 | malicious users: 5 | test acc 0.7997 test loss 0.660563 best test_acc 0.9053
e 111 | malicious users: 5 | test acc 0.8907 test loss 0.380013 best test_acc 0.9053
e 112 | malicious users: 5 | test acc 0.7973 test loss 0.707657 best test_acc 0.9053
e 113 | malicious users: 5 | test acc 0.8018 test loss 0.656002 best test_acc 0.9053
e 114 | malicious users: 5 | test acc 0.8653 test loss 0.569789 best test_acc 0.9053
e 115 | malicious users: 5 | test acc 0.8437 test loss 0.462961 best test_acc 0.9053
e 116 | malicious users: 5 | test acc 0.6587 test loss 0.809847 best test_acc 0.9053
e 117 | malicious users: 5 | test acc 0.8712 test loss 0.447958 best test_acc 0.9053
e 118 | malicious users: 5 | test acc 0.8409 test loss 0.562037 best test_acc 0.9053
e 119 | malicious users: 5 | test acc 0.8744 test loss 0.518070 best test_acc 0.9053
e 120 | malicious users: 5 | test acc 0.9089 test loss 0.375830 best test_acc 0.9089
e 121 | malicious users: 5 | test acc 0.8654 test loss 0.535112 best test_acc 0.9089
e 122 | malicious users: 5 | test acc 0.8451 test loss 0.541576 best test_acc 0.9089
e 123 | malicious users: 5 | test acc 0.8593 test loss 0.521968 best test_acc 0.9089
e 124 | malicious users: 5 | test acc 0.7647 test loss 0.737752 best test_acc 0.9089
e 125 | malicious users: 5 | test acc 0.8507 test loss 0.582767 best test_acc 0.9089
e 126 | malicious users: 5 | test acc 0.8730 test loss 0.492731 best test_acc 0.9089
e 127 | malicious users: 5 | test acc 0.8732 test loss 0.585913 best test_acc 0.9089
e 128 | malicious users: 5 | test acc 0.8487 test loss 0.484081 best test_acc 0.9089
e 129 | malicious users: 5 | test acc 0.8458 test loss 0.529177 best test_acc 0.9089
e 130 | malicious users: 5 | test acc 0.8776 test loss 0.462297 best test_acc 0.9089
e 131 | malicious users: 5 | test acc 0.8320 test loss 0.593692 best test_acc 0.9089
e 132 | malicious users: 5 | test acc 0.8023 test loss 0.719731 best test_acc 0.9089
e 133 | malicious users: 5 | test acc 0.7922 test loss 0.655424 best test_acc 0.9089
e 134 | malicious users: 5 | test acc 0.8535 test loss 0.492105 best test_acc 0.9089
e 135 | malicious users: 5 | test acc 0.8417 test loss 0.556971 best test_acc 0.9089
e 136 | malicious users: 5 | test acc 0.7952 test loss 0.551465 best test_acc 0.9089
e 137 | malicious users: 5 | test acc 0.7383 test loss 0.727223 best test_acc 0.9089
e 138 | malicious users: 5 | test acc 0.7706 test loss 0.728698 best test_acc 0.9089
