=> Saving data in Logs/FRL~try=967
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_train_agnostic_val
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.1633 test loss 2.228393 best test_acc 0.1633
e 1 | malicious users: 5 | test acc 0.3939 test loss 1.849747 best test_acc 0.3939
e 2 | malicious users: 5 | test acc 0.3801 test loss 1.907659 best test_acc 0.3939
e 3 | malicious users: 5 | test acc 0.6525 test loss 1.268109 best test_acc 0.6525
e 4 | malicious users: 5 | test acc 0.5956 test loss 1.178548 best test_acc 0.6525
e 5 | malicious users: 5 | test acc 0.5386 test loss 1.302287 best test_acc 0.6525
e 6 | malicious users: 5 | test acc 0.6705 test loss 0.967149 best test_acc 0.6705
e 7 | malicious users: 5 | test acc 0.6970 test loss 1.045650 best test_acc 0.6970
e 8 | malicious users: 5 | test acc 0.6572 test loss 1.000244 best test_acc 0.6970
e 9 | malicious users: 5 | test acc 0.7471 test loss 0.884104 best test_acc 0.7471
e 10 | malicious users: 5 | test acc 0.7407 test loss 0.838745 best test_acc 0.7471
e 11 | malicious users: 5 | test acc 0.7655 test loss 0.753218 best test_acc 0.7655
e 12 | malicious users: 5 | test acc 0.6622 test loss 1.001286 best test_acc 0.7655
e 13 | malicious users: 5 | test acc 0.8533 test loss 0.564036 best test_acc 0.8533
e 14 | malicious users: 5 | test acc 0.6900 test loss 0.868574 best test_acc 0.8533
e 15 | malicious users: 5 | test acc 0.8284 test loss 0.682341 best test_acc 0.8533
e 16 | malicious users: 5 | test acc 0.7909 test loss 0.700501 best test_acc 0.8533
e 17 | malicious users: 5 | test acc 0.8109 test loss 0.640023 best test_acc 0.8533
e 18 | malicious users: 5 | test acc 0.8240 test loss 0.595593 best test_acc 0.8533
e 19 | malicious users: 5 | test acc 0.6808 test loss 0.890789 best test_acc 0.8533
e 20 | malicious users: 5 | test acc 0.7815 test loss 0.671753 best test_acc 0.8533
e 21 | malicious users: 5 | test acc 0.8681 test loss 0.567829 best test_acc 0.8681
e 22 | malicious users: 5 | test acc 0.8321 test loss 0.608532 best test_acc 0.8681
e 23 | malicious users: 5 | test acc 0.8833 test loss 0.476640 best test_acc 0.8833
e 24 | malicious users: 5 | test acc 0.8581 test loss 0.576292 best test_acc 0.8833
e 25 | malicious users: 5 | test acc 0.9139 test loss 0.441365 best test_acc 0.9139
e 26 | malicious users: 5 | test acc 0.8829 test loss 0.467273 best test_acc 0.9139
e 27 | malicious users: 5 | test acc 0.7701 test loss 0.672410 best test_acc 0.9139
e 28 | malicious users: 5 | test acc 0.7690 test loss 0.641453 best test_acc 0.9139
e 29 | malicious users: 5 | test acc 0.7879 test loss 0.720481 best test_acc 0.9139
e 30 | malicious users: 5 | test acc 0.8118 test loss 0.644293 best test_acc 0.9139
e 31 | malicious users: 5 | test acc 0.8357 test loss 0.599163 best test_acc 0.9139
e 32 | malicious users: 5 | test acc 0.8194 test loss 0.533241 best test_acc 0.9139
e 33 | malicious users: 5 | test acc 0.7598 test loss 0.715577 best test_acc 0.9139
e 34 | malicious users: 5 | test acc 0.8057 test loss 0.556347 best test_acc 0.9139
e 35 | malicious users: 5 | test acc 0.8257 test loss 0.562611 best test_acc 0.9139
e 36 | malicious users: 5 | test acc 0.8382 test loss 0.532062 best test_acc 0.9139
e 37 | malicious users: 5 | test acc 0.7056 test loss 0.867238 best test_acc 0.9139
e 38 | malicious users: 5 | test acc 0.6636 test loss 0.874824 best test_acc 0.9139
e 39 | malicious users: 5 | test acc 0.7780 test loss 0.649235 best test_acc 0.9139
e 40 | malicious users: 5 | test acc 0.8872 test loss 0.518412 best test_acc 0.9139
e 41 | malicious users: 5 | test acc 0.8046 test loss 0.713633 best test_acc 0.9139
e 42 | malicious users: 5 | test acc 0.8744 test loss 0.466779 best test_acc 0.9139
e 43 | malicious users: 5 | test acc 0.8360 test loss 0.571352 best test_acc 0.9139
e 44 | malicious users: 5 | test acc 0.8975 test loss 0.475192 best test_acc 0.9139
e 45 | malicious users: 5 | test acc 0.7912 test loss 0.562120 best test_acc 0.9139
e 46 | malicious users: 5 | test acc 0.7424 test loss 0.764151 best test_acc 0.9139
e 47 | malicious users: 5 | test acc 0.8297 test loss 0.529425 best test_acc 0.9139
e 48 | malicious users: 5 | test acc 0.8504 test loss 0.486679 best test_acc 0.9139
e 49 | malicious users: 5 | test acc 0.9035 test loss 0.482387 best test_acc 0.9139
e 50 | malicious users: 5 | test acc 0.7266 test loss 0.718657 best test_acc 0.9139
e 51 | malicious users: 5 | test acc 0.8339 test loss 0.684094 best test_acc 0.9139
e 52 | malicious users: 5 | test acc 0.8960 test loss 0.381235 best test_acc 0.9139
e 53 | malicious users: 5 | test acc 0.8382 test loss 0.545636 best test_acc 0.9139
e 54 | malicious users: 5 | test acc 0.7529 test loss 0.681674 best test_acc 0.9139
e 55 | malicious users: 5 | test acc 0.7462 test loss 0.874626 best test_acc 0.9139
e 56 | malicious users: 5 | test acc 0.8084 test loss 0.621763 best test_acc 0.9139
e 57 | malicious users: 5 | test acc 0.7964 test loss 0.607274 best test_acc 0.9139
e 58 | malicious users: 5 | test acc 0.8381 test loss 0.598907 best test_acc 0.9139
e 59 | malicious users: 5 | test acc 0.8298 test loss 0.544790 best test_acc 0.9139
e 60 | malicious users: 5 | test acc 0.7491 test loss 0.676468 best test_acc 0.9139
e 61 | malicious users: 5 | test acc 0.8826 test loss 0.612457 best test_acc 0.9139
e 62 | malicious users: 5 | test acc 0.8800 test loss 0.493767 best test_acc 0.9139
e 63 | malicious users: 5 | test acc 0.8160 test loss 0.577193 best test_acc 0.9139
