=> Saving data in Logs/FRL~try=976
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  iid
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.3819 test loss 2.156842 best test_acc 0.3819
e 1 | malicious users: 5 | test acc 0.4859 test loss 1.516768 best test_acc 0.4859
e 2 | malicious users: 5 | test acc 0.6167 test loss 1.511595 best test_acc 0.6167
e 3 | malicious users: 5 | test acc 0.6683 test loss 1.143128 best test_acc 0.6683
e 4 | malicious users: 5 | test acc 0.6919 test loss 1.114911 best test_acc 0.6919
e 5 | malicious users: 5 | test acc 0.7467 test loss 0.823308 best test_acc 0.7467
e 6 | malicious users: 5 | test acc 0.7852 test loss 0.976553 best test_acc 0.7852
e 7 | malicious users: 5 | test acc 0.7963 test loss 0.734681 best test_acc 0.7963
e 8 | malicious users: 5 | test acc 0.7732 test loss 0.875292 best test_acc 0.7963
e 9 | malicious users: 5 | test acc 0.8378 test loss 0.632237 best test_acc 0.8378
e 10 | malicious users: 5 | test acc 0.8266 test loss 0.872143 best test_acc 0.8378
e 11 | malicious users: 5 | test acc 0.8667 test loss 0.574952 best test_acc 0.8667
e 12 | malicious users: 5 | test acc 0.8141 test loss 0.689804 best test_acc 0.8667
e 13 | malicious users: 5 | test acc 0.8315 test loss 0.586096 best test_acc 0.8667
e 14 | malicious users: 5 | test acc 0.7768 test loss 0.822899 best test_acc 0.8667
e 15 | malicious users: 5 | test acc 0.8304 test loss 0.542798 best test_acc 0.8667
e 16 | malicious users: 5 | test acc 0.7063 test loss 1.024903 best test_acc 0.8667
e 17 | malicious users: 5 | test acc 0.8721 test loss 0.450533 best test_acc 0.8721
e 18 | malicious users: 5 | test acc 0.7786 test loss 0.845827 best test_acc 0.8721
e 19 | malicious users: 5 | test acc 0.8575 test loss 0.499972 best test_acc 0.8721
e 20 | malicious users: 5 | test acc 0.8065 test loss 0.784081 best test_acc 0.8721
e 21 | malicious users: 5 | test acc 0.8468 test loss 0.549785 best test_acc 0.8721
e 22 | malicious users: 5 | test acc 0.9003 test loss 0.605848 best test_acc 0.9003
e 23 | malicious users: 5 | test acc 0.8422 test loss 0.509728 best test_acc 0.9003
e 24 | malicious users: 5 | test acc 0.9038 test loss 0.606880 best test_acc 0.9038
e 25 | malicious users: 5 | test acc 0.8763 test loss 0.472077 best test_acc 0.9038
e 26 | malicious users: 5 | test acc 0.8152 test loss 0.880187 best test_acc 0.9038
e 27 | malicious users: 5 | test acc 0.8799 test loss 0.375781 best test_acc 0.9038
e 28 | malicious users: 5 | test acc 0.7006 test loss 0.982908 best test_acc 0.9038
e 29 | malicious users: 5 | test acc 0.8711 test loss 0.447449 best test_acc 0.9038
e 30 | malicious users: 5 | test acc 0.8371 test loss 0.720165 best test_acc 0.9038
e 31 | malicious users: 5 | test acc 0.8190 test loss 0.570046 best test_acc 0.9038
e 32 | malicious users: 5 | test acc 0.8827 test loss 0.529557 best test_acc 0.9038
e 33 | malicious users: 5 | test acc 0.9161 test loss 0.481636 best test_acc 0.9161
e 34 | malicious users: 5 | test acc 0.8855 test loss 0.448855 best test_acc 0.9161
e 35 | malicious users: 5 | test acc 0.8475 test loss 0.524908 best test_acc 0.9161
e 36 | malicious users: 5 | test acc 0.8008 test loss 0.594414 best test_acc 0.9161
e 37 | malicious users: 5 | test acc 0.7366 test loss 0.774616 best test_acc 0.9161
e 38 | malicious users: 5 | test acc 0.8320 test loss 0.630057 best test_acc 0.9161
e 39 | malicious users: 5 | test acc 0.8138 test loss 0.631385 best test_acc 0.9161
e 40 | malicious users: 5 | test acc 0.8982 test loss 0.604510 best test_acc 0.9161
e 41 | malicious users: 5 | test acc 0.7824 test loss 0.652856 best test_acc 0.9161
e 42 | malicious users: 5 | test acc 0.7681 test loss 0.725595 best test_acc 0.9161
e 43 | malicious users: 5 | test acc 0.8744 test loss 0.595428 best test_acc 0.9161
e 44 | malicious users: 5 | test acc 0.8558 test loss 0.690512 best test_acc 0.9161
e 45 | malicious users: 5 | test acc 0.9025 test loss 0.419552 best test_acc 0.9161
e 46 | malicious users: 5 | test acc 0.7081 test loss 0.850348 best test_acc 0.9161
e 47 | malicious users: 5 | test acc 0.8951 test loss 0.355964 best test_acc 0.9161
e 48 | malicious users: 5 | test acc 0.6971 test loss 0.852924 best test_acc 0.9161
e 49 | malicious users: 5 | test acc 0.8317 test loss 0.584689 best test_acc 0.9161
e 50 | malicious users: 5 | test acc 0.8685 test loss 0.567504 best test_acc 0.9161
e 51 | malicious users: 5 | test acc 0.8687 test loss 0.628254 best test_acc 0.9161
e 52 | malicious users: 5 | test acc 0.8132 test loss 0.548976 best test_acc 0.9161
e 53 | malicious users: 5 | test acc 0.8412 test loss 0.594620 best test_acc 0.9161
e 54 | malicious users: 5 | test acc 0.9116 test loss 0.394518 best test_acc 0.9161
e 55 | malicious users: 5 | test acc 0.8597 test loss 0.578669 best test_acc 0.9161
e 56 | malicious users: 5 | test acc 0.8217 test loss 0.545224 best test_acc 0.9161
e 57 | malicious users: 5 | test acc 0.8260 test loss 0.702502 best test_acc 0.9161
e 58 | malicious users: 5 | test acc 0.8862 test loss 0.413417 best test_acc 0.9161
e 59 | malicious users: 5 | test acc 0.8485 test loss 0.707107 best test_acc 0.9161
e 60 | malicious users: 5 | test acc 0.8479 test loss 0.589066 best test_acc 0.9161
e 61 | malicious users: 5 | test acc 0.8441 test loss 0.592945 best test_acc 0.9161
e 62 | malicious users: 5 | test acc 0.8609 test loss 0.657295 best test_acc 0.9161
e 63 | malicious users: 5 | test acc 0.8395 test loss 0.624051 best test_acc 0.9161
e 64 | malicious users: 5 | test acc 0.8143 test loss 0.625223 best test_acc 0.9161
e 65 | malicious users: 5 | test acc 0.8785 test loss 0.526575 best test_acc 0.9161
e 66 | malicious users: 5 | test acc 0.8828 test loss 0.372316 best test_acc 0.9161
e 67 | malicious users: 5 | test acc 0.8094 test loss 0.716746 best test_acc 0.9161
e 68 | malicious users: 5 | test acc 0.8305 test loss 0.551151 best test_acc 0.9161
e 69 | malicious users: 5 | test acc 0.6999 test loss 0.873486 best test_acc 0.9161
e 70 | malicious users: 5 | test acc 0.8419 test loss 0.601766 best test_acc 0.9161
e 71 | malicious users: 5 | test acc 0.8446 test loss 0.717049 best test_acc 0.9161
e 72 | malicious users: 5 | test acc 0.7546 test loss 0.633737 best test_acc 0.9161
e 73 | malicious users: 5 | test acc 0.7858 test loss 0.810342 best test_acc 0.9161
e 74 | malicious users: 5 | test acc 0.8528 test loss 0.561188 best test_acc 0.9161
e 75 | malicious users: 5 | test acc 0.8096 test loss 0.843800 best test_acc 0.9161
e 76 | malicious users: 5 | test acc 0.7740 test loss 0.801130 best test_acc 0.9161
e 77 | malicious users: 5 | test acc 0.7295 test loss 0.793340 best test_acc 0.9161
e 78 | malicious users: 5 | test acc 0.6788 test loss 0.836776 best test_acc 0.9161
e 79 | malicious users: 5 | test acc 0.7434 test loss 0.829785 best test_acc 0.9161
e 80 | malicious users: 5 | test acc 0.8284 test loss 0.727271 best test_acc 0.9161
e 81 | malicious users: 5 | test acc 0.7295 test loss 0.732372 best test_acc 0.9161
e 82 | malicious users: 5 | test acc 0.6800 test loss 1.028308 best test_acc 0.9161
e 83 | malicious users: 5 | test acc 0.8004 test loss 0.634920 best test_acc 0.9161
e 84 | malicious users: 5 | test acc 0.6199 test loss 0.976339 best test_acc 0.9161
e 85 | malicious users: 5 | test acc 0.7911 test loss 0.757829 best test_acc 0.9161
e 86 | malicious users: 5 | test acc 0.6722 test loss 0.935354 best test_acc 0.9161
e 87 | malicious users: 5 | test acc 0.8179 test loss 0.584717 best test_acc 0.9161
e 88 | malicious users: 5 | test acc 0.7336 test loss 1.138943 best test_acc 0.9161
e 89 | malicious users: 5 | test acc 0.7687 test loss 0.681307 best test_acc 0.9161
e 90 | malicious users: 5 | test acc 0.6251 test loss 1.151049 best test_acc 0.9161
e 91 | malicious users: 5 | test acc 0.7586 test loss 0.632526 best test_acc 0.9161
e 92 | malicious users: 5 | test acc 0.6841 test loss 0.954144 best test_acc 0.9161
e 93 | malicious users: 5 | test acc 0.7065 test loss 0.859924 best test_acc 0.9161
e 94 | malicious users: 5 | test acc 0.8158 test loss 0.720765 best test_acc 0.9161
e 95 | malicious users: 5 | test acc 0.8344 test loss 0.747621 best test_acc 0.9161
e 96 | malicious users: 5 | test acc 0.8043 test loss 0.796951 best test_acc 0.9161
e 97 | malicious users: 5 | test acc 0.8118 test loss 0.852769 best test_acc 0.9161
e 98 | malicious users: 5 | test acc 0.8142 test loss 0.661436 best test_acc 0.9161
e 99 | malicious users: 5 | test acc 0.7013 test loss 1.115961 best test_acc 0.9161
e 100 | malicious users: 5 | test acc 0.7420 test loss 0.798024 best test_acc 0.9161
e 101 | malicious users: 5 | test acc 0.6591 test loss 0.965489 best test_acc 0.9161
