=> Saving data in Logs/FRL~try=980
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  iid
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.2687 test loss 2.212411 best test_acc 0.2687
e 1 | malicious users: 5 | test acc 0.5265 test loss 1.777497 best test_acc 0.5265
e 2 | malicious users: 5 | test acc 0.6029 test loss 1.811302 best test_acc 0.6029
e 3 | malicious users: 5 | test acc 0.6189 test loss 1.466879 best test_acc 0.6189
e 4 | malicious users: 5 | test acc 0.7211 test loss 1.068727 best test_acc 0.7211
e 5 | malicious users: 5 | test acc 0.6874 test loss 1.026097 best test_acc 0.7211
e 6 | malicious users: 5 | test acc 0.6546 test loss 1.094680 best test_acc 0.7211
e 7 | malicious users: 5 | test acc 0.7534 test loss 0.771547 best test_acc 0.7534
e 8 | malicious users: 5 | test acc 0.8019 test loss 0.755398 best test_acc 0.8019
e 9 | malicious users: 5 | test acc 0.7915 test loss 0.743308 best test_acc 0.8019
e 10 | malicious users: 5 | test acc 0.7393 test loss 0.888433 best test_acc 0.8019
e 11 | malicious users: 5 | test acc 0.7679 test loss 0.854569 best test_acc 0.8019
e 12 | malicious users: 5 | test acc 0.8630 test loss 0.513897 best test_acc 0.8630
e 13 | malicious users: 5 | test acc 0.8682 test loss 0.612588 best test_acc 0.8682
e 14 | malicious users: 5 | test acc 0.8379 test loss 0.598439 best test_acc 0.8682
e 15 | malicious users: 5 | test acc 0.8576 test loss 0.545707 best test_acc 0.8682
e 16 | malicious users: 5 | test acc 0.8946 test loss 0.592834 best test_acc 0.8946
e 17 | malicious users: 5 | test acc 0.8845 test loss 0.510409 best test_acc 0.8946
e 18 | malicious users: 5 | test acc 0.9010 test loss 0.556677 best test_acc 0.9010
e 19 | malicious users: 5 | test acc 0.8837 test loss 0.538832 best test_acc 0.9010
e 20 | malicious users: 5 | test acc 0.8924 test loss 0.470188 best test_acc 0.9010
e 21 | malicious users: 5 | test acc 0.8891 test loss 0.413390 best test_acc 0.9010
e 22 | malicious users: 5 | test acc 0.8238 test loss 0.566070 best test_acc 0.9010
e 23 | malicious users: 5 | test acc 0.9128 test loss 0.464089 best test_acc 0.9128
e 24 | malicious users: 5 | test acc 0.9070 test loss 0.435064 best test_acc 0.9128
e 25 | malicious users: 5 | test acc 0.8884 test loss 0.483057 best test_acc 0.9128
e 26 | malicious users: 5 | test acc 0.8326 test loss 0.522170 best test_acc 0.9128
e 27 | malicious users: 5 | test acc 0.8678 test loss 0.493328 best test_acc 0.9128
e 28 | malicious users: 5 | test acc 0.8855 test loss 0.417174 best test_acc 0.9128
e 29 | malicious users: 5 | test acc 0.9131 test loss 0.385810 best test_acc 0.9131
e 30 | malicious users: 5 | test acc 0.9021 test loss 0.560809 best test_acc 0.9131
e 31 | malicious users: 5 | test acc 0.9250 test loss 0.370817 best test_acc 0.9250
e 32 | malicious users: 5 | test acc 0.8413 test loss 0.537322 best test_acc 0.9250
e 33 | malicious users: 5 | test acc 0.8637 test loss 0.443724 best test_acc 0.9250
e 34 | malicious users: 5 | test acc 0.8466 test loss 0.537570 best test_acc 0.9250
e 35 | malicious users: 5 | test acc 0.8706 test loss 0.557283 best test_acc 0.9250
e 36 | malicious users: 5 | test acc 0.9076 test loss 0.351269 best test_acc 0.9250
e 37 | malicious users: 5 | test acc 0.8082 test loss 0.644274 best test_acc 0.9250
e 38 | malicious users: 5 | test acc 0.9112 test loss 0.371456 best test_acc 0.9250
e 39 | malicious users: 5 | test acc 0.8308 test loss 0.561946 best test_acc 0.9250
e 40 | malicious users: 5 | test acc 0.8903 test loss 0.445754 best test_acc 0.9250
e 41 | malicious users: 5 | test acc 0.8485 test loss 0.472586 best test_acc 0.9250
e 42 | malicious users: 5 | test acc 0.9229 test loss 0.372209 best test_acc 0.9250
e 43 | malicious users: 5 | test acc 0.8524 test loss 0.560171 best test_acc 0.9250
e 44 | malicious users: 5 | test acc 0.9068 test loss 0.378162 best test_acc 0.9250
e 45 | malicious users: 5 | test acc 0.9163 test loss 0.521060 best test_acc 0.9250
e 46 | malicious users: 5 | test acc 0.9052 test loss 0.333350 best test_acc 0.9250
e 47 | malicious users: 5 | test acc 0.8192 test loss 0.593256 best test_acc 0.9250
e 48 | malicious users: 5 | test acc 0.9153 test loss 0.393215 best test_acc 0.9250
e 49 | malicious users: 5 | test acc 0.8560 test loss 0.454437 best test_acc 0.9250
e 50 | malicious users: 5 | test acc 0.8288 test loss 0.706994 best test_acc 0.9250
e 51 | malicious users: 5 | test acc 0.9281 test loss 0.313748 best test_acc 0.9281
e 52 | malicious users: 5 | test acc 0.8846 test loss 0.580589 best test_acc 0.9281
e 53 | malicious users: 5 | test acc 0.9125 test loss 0.407450 best test_acc 0.9281
e 54 | malicious users: 5 | test acc 0.8256 test loss 0.544382 best test_acc 0.9281
e 55 | malicious users: 5 | test acc 0.9160 test loss 0.424846 best test_acc 0.9281
e 56 | malicious users: 5 | test acc 0.8547 test loss 0.585725 best test_acc 0.9281
e 57 | malicious users: 5 | test acc 0.9293 test loss 0.367392 best test_acc 0.9293
e 58 | malicious users: 5 | test acc 0.9209 test loss 0.375911 best test_acc 0.9293
e 59 | malicious users: 5 | test acc 0.8874 test loss 0.400698 best test_acc 0.9293
e 60 | malicious users: 5 | test acc 0.9243 test loss 0.345905 best test_acc 0.9293
e 61 | malicious users: 5 | test acc 0.9121 test loss 0.350407 best test_acc 0.9293
e 62 | malicious users: 5 | test acc 0.8114 test loss 0.729766 best test_acc 0.9293
e 63 | malicious users: 5 | test acc 0.9129 test loss 0.337308 best test_acc 0.9293
e 64 | malicious users: 5 | test acc 0.8558 test loss 0.627892 best test_acc 0.9293
e 65 | malicious users: 5 | test acc 0.9287 test loss 0.421320 best test_acc 0.9293
