=> Saving data in Logs/FRL~try=986
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  iid
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.3567 test loss 2.182652 best test_acc 0.3567
e 1 | malicious users: 5 | test acc 0.5426 test loss 1.685496 best test_acc 0.5426
e 2 | malicious users: 5 | test acc 0.6540 test loss 1.734967 best test_acc 0.6540
e 3 | malicious users: 5 | test acc 0.6218 test loss 1.618903 best test_acc 0.6540
e 4 | malicious users: 5 | test acc 0.6856 test loss 1.131859 best test_acc 0.6856
e 5 | malicious users: 5 | test acc 0.7172 test loss 0.943516 best test_acc 0.7172
e 6 | malicious users: 5 | test acc 0.7180 test loss 0.944360 best test_acc 0.7180
e 7 | malicious users: 5 | test acc 0.7775 test loss 0.745821 best test_acc 0.7775
e 8 | malicious users: 5 | test acc 0.7073 test loss 0.886530 best test_acc 0.7775
e 9 | malicious users: 5 | test acc 0.7927 test loss 0.703249 best test_acc 0.7927
e 10 | malicious users: 5 | test acc 0.8418 test loss 0.682217 best test_acc 0.8418
e 11 | malicious users: 5 | test acc 0.8001 test loss 0.786486 best test_acc 0.8418
e 12 | malicious users: 5 | test acc 0.8176 test loss 0.594511 best test_acc 0.8418
e 13 | malicious users: 5 | test acc 0.8049 test loss 0.657658 best test_acc 0.8418
e 14 | malicious users: 5 | test acc 0.8962 test loss 0.537222 best test_acc 0.8962
e 15 | malicious users: 5 | test acc 0.8609 test loss 0.571425 best test_acc 0.8962
e 16 | malicious users: 5 | test acc 0.8854 test loss 0.488572 best test_acc 0.8962
e 17 | malicious users: 5 | test acc 0.8764 test loss 0.510923 best test_acc 0.8962
e 18 | malicious users: 5 | test acc 0.8971 test loss 0.486851 best test_acc 0.8971
e 19 | malicious users: 5 | test acc 0.8986 test loss 0.453901 best test_acc 0.8986
e 20 | malicious users: 5 | test acc 0.8084 test loss 0.663612 best test_acc 0.8986
e 21 | malicious users: 5 | test acc 0.9100 test loss 0.408627 best test_acc 0.9100
e 22 | malicious users: 5 | test acc 0.8465 test loss 0.547470 best test_acc 0.9100
e 23 | malicious users: 5 | test acc 0.9125 test loss 0.391551 best test_acc 0.9125
