=> Saving data in Logs/FRL~try=987
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  iid
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.4137 test loss 2.120808 best test_acc 0.4137
e 1 | malicious users: 5 | test acc 0.4635 test loss 1.593777 best test_acc 0.4635
e 2 | malicious users: 5 | test acc 0.5829 test loss 1.805252 best test_acc 0.5829
e 3 | malicious users: 5 | test acc 0.6204 test loss 1.144014 best test_acc 0.6204
e 4 | malicious users: 5 | test acc 0.6642 test loss 1.303352 best test_acc 0.6642
e 5 | malicious users: 5 | test acc 0.7658 test loss 0.791418 best test_acc 0.7658
e 6 | malicious users: 5 | test acc 0.7127 test loss 1.001225 best test_acc 0.7658
e 7 | malicious users: 5 | test acc 0.8641 test loss 0.567334 best test_acc 0.8641
e 8 | malicious users: 5 | test acc 0.6566 test loss 1.074019 best test_acc 0.8641
e 9 | malicious users: 5 | test acc 0.8475 test loss 0.517210 best test_acc 0.8641
e 10 | malicious users: 5 | test acc 0.7006 test loss 0.932199 best test_acc 0.8641
e 11 | malicious users: 5 | test acc 0.8290 test loss 0.621599 best test_acc 0.8641
e 12 | malicious users: 5 | test acc 0.7930 test loss 0.843089 best test_acc 0.8641
e 13 | malicious users: 5 | test acc 0.8217 test loss 0.550381 best test_acc 0.8641
e 14 | malicious users: 5 | test acc 0.7976 test loss 0.684945 best test_acc 0.8641
e 15 | malicious users: 5 | test acc 0.7317 test loss 0.780152 best test_acc 0.8641
e 16 | malicious users: 5 | test acc 0.8434 test loss 0.626803 best test_acc 0.8641
e 17 | malicious users: 5 | test acc 0.6910 test loss 0.984685 best test_acc 0.8641
e 18 | malicious users: 5 | test acc 0.8749 test loss 0.474390 best test_acc 0.8749
e 19 | malicious users: 5 | test acc 0.7700 test loss 0.846412 best test_acc 0.8749
e 20 | malicious users: 5 | test acc 0.8288 test loss 0.506315 best test_acc 0.8749
e 21 | malicious users: 5 | test acc 0.6845 test loss 0.981999 best test_acc 0.8749
e 22 | malicious users: 5 | test acc 0.8432 test loss 0.517447 best test_acc 0.8749
e 23 | malicious users: 5 | test acc 0.6737 test loss 0.999919 best test_acc 0.8749
e 24 | malicious users: 5 | test acc 0.8033 test loss 0.562278 best test_acc 0.8749
e 25 | malicious users: 5 | test acc 0.7303 test loss 0.906674 best test_acc 0.8749
e 26 | malicious users: 5 | test acc 0.8215 test loss 0.641971 best test_acc 0.8749
e 27 | malicious users: 5 | test acc 0.8900 test loss 0.475401 best test_acc 0.8900
e 28 | malicious users: 5 | test acc 0.7506 test loss 0.885018 best test_acc 0.8900
e 29 | malicious users: 5 | test acc 0.9108 test loss 0.348240 best test_acc 0.9108
e 30 | malicious users: 5 | test acc 0.8204 test loss 0.914444 best test_acc 0.9108
e 31 | malicious users: 5 | test acc 0.8736 test loss 0.426055 best test_acc 0.9108
e 32 | malicious users: 5 | test acc 0.8042 test loss 0.932569 best test_acc 0.9108
e 33 | malicious users: 5 | test acc 0.8130 test loss 0.516686 best test_acc 0.9108
e 34 | malicious users: 5 | test acc 0.7670 test loss 0.994679 best test_acc 0.9108
e 35 | malicious users: 5 | test acc 0.8573 test loss 0.542638 best test_acc 0.9108
e 36 | malicious users: 5 | test acc 0.8581 test loss 0.850517 best test_acc 0.9108
e 37 | malicious users: 5 | test acc 0.8695 test loss 0.490497 best test_acc 0.9108
e 38 | malicious users: 5 | test acc 0.8438 test loss 0.681884 best test_acc 0.9108
e 39 | malicious users: 5 | test acc 0.7855 test loss 0.664835 best test_acc 0.9108
e 40 | malicious users: 5 | test acc 0.7617 test loss 0.770829 best test_acc 0.9108
e 41 | malicious users: 5 | test acc 0.7995 test loss 0.614508 best test_acc 0.9108
e 42 | malicious users: 5 | test acc 0.7588 test loss 0.765255 best test_acc 0.9108
e 43 | malicious users: 5 | test acc 0.7959 test loss 0.594178 best test_acc 0.9108
e 44 | malicious users: 5 | test acc 0.8236 test loss 0.719749 best test_acc 0.9108
e 45 | malicious users: 5 | test acc 0.8062 test loss 0.622176 best test_acc 0.9108
e 46 | malicious users: 5 | test acc 0.8213 test loss 0.765998 best test_acc 0.9108
e 47 | malicious users: 5 | test acc 0.6740 test loss 0.910787 best test_acc 0.9108
e 48 | malicious users: 5 | test acc 0.7885 test loss 0.697043 best test_acc 0.9108
e 49 | malicious users: 5 | test acc 0.7932 test loss 0.653787 best test_acc 0.9108
e 50 | malicious users: 5 | test acc 0.7975 test loss 0.716654 best test_acc 0.9108
e 51 | malicious users: 5 | test acc 0.7172 test loss 0.846977 best test_acc 0.9108
e 52 | malicious users: 5 | test acc 0.8678 test loss 0.700817 best test_acc 0.9108
e 53 | malicious users: 5 | test acc 0.7286 test loss 0.965852 best test_acc 0.9108
e 54 | malicious users: 5 | test acc 0.8735 test loss 0.583254 best test_acc 0.9108
e 55 | malicious users: 5 | test acc 0.7842 test loss 0.834671 best test_acc 0.9108
e 56 | malicious users: 5 | test acc 0.7568 test loss 0.772155 best test_acc 0.9108
e 57 | malicious users: 5 | test acc 0.7835 test loss 0.743090 best test_acc 0.9108
e 58 | malicious users: 5 | test acc 0.7677 test loss 0.710029 best test_acc 0.9108
e 59 | malicious users: 5 | test acc 0.8398 test loss 0.599544 best test_acc 0.9108
e 60 | malicious users: 5 | test acc 0.6974 test loss 1.022030 best test_acc 0.9108
e 61 | malicious users: 5 | test acc 0.8249 test loss 0.640082 best test_acc 0.9108
e 62 | malicious users: 5 | test acc 0.6986 test loss 0.953944 best test_acc 0.9108
e 63 | malicious users: 5 | test acc 0.7446 test loss 0.693086 best test_acc 0.9108
e 64 | malicious users: 5 | test acc 0.8123 test loss 0.740972 best test_acc 0.9108
e 65 | malicious users: 5 | test acc 0.7385 test loss 0.814693 best test_acc 0.9108
e 66 | malicious users: 5 | test acc 0.7636 test loss 0.806745 best test_acc 0.9108
e 67 | malicious users: 5 | test acc 0.8288 test loss 0.773289 best test_acc 0.9108
e 68 | malicious users: 5 | test acc 0.8377 test loss 0.623774 best test_acc 0.9108
e 69 | malicious users: 5 | test acc 0.8233 test loss 0.667034 best test_acc 0.9108
e 70 | malicious users: 5 | test acc 0.7672 test loss 0.838739 best test_acc 0.9108
e 71 | malicious users: 5 | test acc 0.8001 test loss 0.703482 best test_acc 0.9108
e 72 | malicious users: 5 | test acc 0.6756 test loss 0.951471 best test_acc 0.9108
e 73 | malicious users: 5 | test acc 0.8032 test loss 0.631810 best test_acc 0.9108
e 74 | malicious users: 5 | test acc 0.8005 test loss 0.859829 best test_acc 0.9108
e 75 | malicious users: 5 | test acc 0.7632 test loss 0.729085 best test_acc 0.9108
e 76 | malicious users: 5 | test acc 0.8139 test loss 0.702762 best test_acc 0.9108
e 77 | malicious users: 5 | test acc 0.8099 test loss 0.741521 best test_acc 0.9108
e 78 | malicious users: 5 | test acc 0.7385 test loss 0.789931 best test_acc 0.9108
e 79 | malicious users: 5 | test acc 0.7409 test loss 0.846737 best test_acc 0.9108
e 80 | malicious users: 5 | test acc 0.7333 test loss 0.754129 best test_acc 0.9108
e 81 | malicious users: 5 | test acc 0.8527 test loss 0.589179 best test_acc 0.9108
e 82 | malicious users: 5 | test acc 0.6879 test loss 0.891598 best test_acc 0.9108
e 83 | malicious users: 5 | test acc 0.7444 test loss 0.809973 best test_acc 0.9108
e 84 | malicious users: 5 | test acc 0.6794 test loss 0.930761 best test_acc 0.9108
e 85 | malicious users: 5 | test acc 0.6815 test loss 0.866775 best test_acc 0.9108
e 86 | malicious users: 5 | test acc 0.5650 test loss 1.141206 best test_acc 0.9108
e 87 | malicious users: 5 | test acc 0.7315 test loss 0.871983 best test_acc 0.9108
e 88 | malicious users: 5 | test acc 0.6227 test loss 1.128021 best test_acc 0.9108
e 89 | malicious users: 5 | test acc 0.7227 test loss 0.882041 best test_acc 0.9108
e 90 | malicious users: 5 | test acc 0.7588 test loss 0.799723 best test_acc 0.9108
e 91 | malicious users: 5 | test acc 0.7879 test loss 0.716858 best test_acc 0.9108
