=> Saving data in Logs/FRL~try=989
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  iid
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  my_attack_defense
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.2096 test loss 2.272498 best test_acc 0.2096
e 1 | malicious users: 5 | test acc 0.3886 test loss 2.178636 best test_acc 0.3886
e 2 | malicious users: 5 | test acc 0.3931 test loss 2.053410 best test_acc 0.3931
e 3 | malicious users: 5 | test acc 0.4707 test loss 2.096003 best test_acc 0.4707
e 4 | malicious users: 5 | test acc 0.5162 test loss 2.007611 best test_acc 0.5162
e 5 | malicious users: 5 | test acc 0.5905 test loss 1.919410 best test_acc 0.5905
e 6 | malicious users: 5 | test acc 0.6219 test loss 2.001005 best test_acc 0.6219
e 7 | malicious users: 5 | test acc 0.6478 test loss 2.101394 best test_acc 0.6478
e 8 | malicious users: 5 | test acc 0.6097 test loss 1.864266 best test_acc 0.6478
e 9 | malicious users: 5 | test acc 0.6357 test loss 2.104884 best test_acc 0.6478
e 10 | malicious users: 5 | test acc 0.6112 test loss 1.848009 best test_acc 0.6478
e 11 | malicious users: 5 | test acc 0.6873 test loss 1.960228 best test_acc 0.6873
e 12 | malicious users: 5 | test acc 0.6583 test loss 1.974462 best test_acc 0.6873
e 13 | malicious users: 5 | test acc 0.6086 test loss 1.917618 best test_acc 0.6873
e 14 | malicious users: 5 | test acc 0.6835 test loss 1.736328 best test_acc 0.6873
e 15 | malicious users: 5 | test acc 0.6550 test loss 1.975459 best test_acc 0.6873
e 16 | malicious users: 5 | test acc 0.7053 test loss 1.697553 best test_acc 0.7053
e 17 | malicious users: 5 | test acc 0.7122 test loss 1.864844 best test_acc 0.7122
e 18 | malicious users: 5 | test acc 0.6714 test loss 1.741037 best test_acc 0.7122
e 19 | malicious users: 5 | test acc 0.6867 test loss 1.727562 best test_acc 0.7122
e 20 | malicious users: 5 | test acc 0.7411 test loss 1.449975 best test_acc 0.7411
e 21 | malicious users: 5 | test acc 0.6990 test loss 1.464622 best test_acc 0.7411
e 22 | malicious users: 5 | test acc 0.7258 test loss 1.617769 best test_acc 0.7411
e 23 | malicious users: 5 | test acc 0.7403 test loss 1.657911 best test_acc 0.7411
e 24 | malicious users: 5 | test acc 0.7284 test loss 1.349988 best test_acc 0.7411
e 25 | malicious users: 5 | test acc 0.6977 test loss 1.541024 best test_acc 0.7411
e 26 | malicious users: 5 | test acc 0.7825 test loss 1.398279 best test_acc 0.7825
e 27 | malicious users: 5 | test acc 0.7669 test loss 1.719471 best test_acc 0.7825
e 28 | malicious users: 5 | test acc 0.7419 test loss 1.463478 best test_acc 0.7825
e 29 | malicious users: 5 | test acc 0.7894 test loss 1.231426 best test_acc 0.7894
e 30 | malicious users: 5 | test acc 0.7461 test loss 1.408735 best test_acc 0.7894
e 31 | malicious users: 5 | test acc 0.8157 test loss 1.425961 best test_acc 0.8157
e 32 | malicious users: 5 | test acc 0.6729 test loss 1.582518 best test_acc 0.8157
e 33 | malicious users: 5 | test acc 0.7315 test loss 1.429717 best test_acc 0.8157
e 34 | malicious users: 5 | test acc 0.7803 test loss 1.549781 best test_acc 0.8157
e 35 | malicious users: 5 | test acc 0.7892 test loss 1.202515 best test_acc 0.8157
e 36 | malicious users: 5 | test acc 0.8047 test loss 1.431687 best test_acc 0.8157
e 37 | malicious users: 5 | test acc 0.8211 test loss 1.385627 best test_acc 0.8211
e 38 | malicious users: 5 | test acc 0.7890 test loss 1.508935 best test_acc 0.8211
e 39 | malicious users: 5 | test acc 0.8172 test loss 1.381081 best test_acc 0.8211
e 40 | malicious users: 5 | test acc 0.8662 test loss 1.119708 best test_acc 0.8662
e 41 | malicious users: 5 | test acc 0.8062 test loss 1.177950 best test_acc 0.8662
e 42 | malicious users: 5 | test acc 0.8573 test loss 1.209863 best test_acc 0.8662
e 43 | malicious users: 5 | test acc 0.7774 test loss 1.132823 best test_acc 0.8662
e 44 | malicious users: 5 | test acc 0.8574 test loss 1.079083 best test_acc 0.8662
e 45 | malicious users: 5 | test acc 0.8304 test loss 1.427942 best test_acc 0.8662
e 46 | malicious users: 5 | test acc 0.8044 test loss 1.419621 best test_acc 0.8662
e 47 | malicious users: 5 | test acc 0.8447 test loss 1.246958 best test_acc 0.8662
e 48 | malicious users: 5 | test acc 0.8191 test loss 1.433977 best test_acc 0.8662
e 49 | malicious users: 5 | test acc 0.8343 test loss 1.245952 best test_acc 0.8662
e 50 | malicious users: 5 | test acc 0.8508 test loss 0.995647 best test_acc 0.8662
e 51 | malicious users: 5 | test acc 0.7178 test loss 1.308028 best test_acc 0.8662
e 52 | malicious users: 5 | test acc 0.8015 test loss 1.257309 best test_acc 0.8662
e 53 | malicious users: 5 | test acc 0.8479 test loss 1.466013 best test_acc 0.8662
e 54 | malicious users: 5 | test acc 0.7993 test loss 1.410046 best test_acc 0.8662
e 55 | malicious users: 5 | test acc 0.7755 test loss 1.491670 best test_acc 0.8662
e 56 | malicious users: 5 | test acc 0.7970 test loss 1.410623 best test_acc 0.8662
e 57 | malicious users: 5 | test acc 0.7609 test loss 1.488072 best test_acc 0.8662
e 58 | malicious users: 5 | test acc 0.8064 test loss 1.312060 best test_acc 0.8662
e 59 | malicious users: 5 | test acc 0.8427 test loss 1.280039 best test_acc 0.8662
e 60 | malicious users: 5 | test acc 0.8056 test loss 1.433753 best test_acc 0.8662
e 61 | malicious users: 5 | test acc 0.8341 test loss 1.229562 best test_acc 0.8662
e 62 | malicious users: 5 | test acc 0.7665 test loss 1.557734 best test_acc 0.8662
e 63 | malicious users: 5 | test acc 0.7904 test loss 1.433156 best test_acc 0.8662
e 64 | malicious users: 5 | test acc 0.8030 test loss 1.044237 best test_acc 0.8662
e 65 | malicious users: 5 | test acc 0.7901 test loss 1.366071 best test_acc 0.8662
e 66 | malicious users: 5 | test acc 0.7719 test loss 1.277040 best test_acc 0.8662
e 67 | malicious users: 5 | test acc 0.8271 test loss 1.229841 best test_acc 0.8662
e 68 | malicious users: 5 | test acc 0.7885 test loss 1.150605 best test_acc 0.8662
e 69 | malicious users: 5 | test acc 0.8101 test loss 0.987580 best test_acc 0.8662
e 70 | malicious users: 5 | test acc 0.8132 test loss 1.153472 best test_acc 0.8662
e 71 | malicious users: 5 | test acc 0.8389 test loss 1.298202 best test_acc 0.8662
e 72 | malicious users: 5 | test acc 0.7623 test loss 1.376458 best test_acc 0.8662
e 73 | malicious users: 5 | test acc 0.8339 test loss 1.206493 best test_acc 0.8662
e 74 | malicious users: 5 | test acc 0.8138 test loss 1.073897 best test_acc 0.8662
e 75 | malicious users: 5 | test acc 0.8491 test loss 1.209064 best test_acc 0.8662
e 76 | malicious users: 5 | test acc 0.8774 test loss 1.261228 best test_acc 0.8774
e 77 | malicious users: 5 | test acc 0.8784 test loss 1.315304 best test_acc 0.8784
e 78 | malicious users: 5 | test acc 0.7719 test loss 1.329715 best test_acc 0.8784
e 79 | malicious users: 5 | test acc 0.8656 test loss 1.326806 best test_acc 0.8784
e 80 | malicious users: 5 | test acc 0.8031 test loss 1.226054 best test_acc 0.8784
e 81 | malicious users: 5 | test acc 0.8465 test loss 1.059696 best test_acc 0.8784
e 82 | malicious users: 5 | test acc 0.8704 test loss 1.157634 best test_acc 0.8784
e 83 | malicious users: 5 | test acc 0.8655 test loss 1.264233 best test_acc 0.8784
e 84 | malicious users: 5 | test acc 0.8679 test loss 1.199597 best test_acc 0.8784
e 85 | malicious users: 5 | test acc 0.8773 test loss 0.969555 best test_acc 0.8784
e 86 | malicious users: 5 | test acc 0.8514 test loss 1.096107 best test_acc 0.8784
e 87 | malicious users: 5 | test acc 0.8478 test loss 0.872907 best test_acc 0.8784
e 88 | malicious users: 5 | test acc 0.8874 test loss 1.148991 best test_acc 0.8874
e 89 | malicious users: 5 | test acc 0.8712 test loss 1.168544 best test_acc 0.8874
e 90 | malicious users: 5 | test acc 0.8582 test loss 0.976101 best test_acc 0.8874
e 91 | malicious users: 5 | test acc 0.8376 test loss 1.218672 best test_acc 0.8874
e 92 | malicious users: 5 | test acc 0.8040 test loss 1.159702 best test_acc 0.8874
e 93 | malicious users: 5 | test acc 0.7433 test loss 1.073240 best test_acc 0.8874
e 94 | malicious users: 5 | test acc 0.8763 test loss 0.980895 best test_acc 0.8874
e 95 | malicious users: 5 | test acc 0.8288 test loss 1.030775 best test_acc 0.8874
e 96 | malicious users: 5 | test acc 0.8478 test loss 1.060229 best test_acc 0.8874
e 97 | malicious users: 5 | test acc 0.7724 test loss 1.277246 best test_acc 0.8874
e 98 | malicious users: 5 | test acc 0.8551 test loss 1.222415 best test_acc 0.8874
e 99 | malicious users: 5 | test acc 0.7939 test loss 1.409146 best test_acc 0.8874
e 100 | malicious users: 5 | test acc 0.7748 test loss 1.346455 best test_acc 0.8874
e 101 | malicious users: 5 | test acc 0.7917 test loss 1.394995 best test_acc 0.8874
e 102 | malicious users: 5 | test acc 0.8257 test loss 1.127133 best test_acc 0.8874
e 103 | malicious users: 5 | test acc 0.8355 test loss 1.197107 best test_acc 0.8874
e 104 | malicious users: 5 | test acc 0.7757 test loss 1.228643 best test_acc 0.8874
e 105 | malicious users: 5 | test acc 0.8047 test loss 1.052721 best test_acc 0.8874
e 106 | malicious users: 5 | test acc 0.7997 test loss 1.372827 best test_acc 0.8874
e 107 | malicious users: 5 | test acc 0.8775 test loss 1.126023 best test_acc 0.8874
e 108 | malicious users: 5 | test acc 0.8243 test loss 1.291543 best test_acc 0.8874
e 109 | malicious users: 5 | test acc 0.7676 test loss 1.129435 best test_acc 0.8874
e 110 | malicious users: 5 | test acc 0.8697 test loss 1.128933 best test_acc 0.8874
e 111 | malicious users: 5 | test acc 0.8366 test loss 1.207286 best test_acc 0.8874
e 112 | malicious users: 5 | test acc 0.8224 test loss 0.863259 best test_acc 0.8874
e 113 | malicious users: 5 | test acc 0.8704 test loss 0.923571 best test_acc 0.8874
e 114 | malicious users: 5 | test acc 0.8604 test loss 0.995214 best test_acc 0.8874
e 115 | malicious users: 5 | test acc 0.8213 test loss 1.173141 best test_acc 0.8874
e 116 | malicious users: 5 | test acc 0.8550 test loss 1.436144 best test_acc 0.8874
e 117 | malicious users: 5 | test acc 0.8452 test loss 1.020362 best test_acc 0.8874
e 118 | malicious users: 5 | test acc 0.8828 test loss 0.976344 best test_acc 0.8874
e 119 | malicious users: 5 | test acc 0.8657 test loss 1.136633 best test_acc 0.8874
e 120 | malicious users: 5 | test acc 0.8625 test loss 1.218347 best test_acc 0.8874
e 121 | malicious users: 5 | test acc 0.8402 test loss 1.226168 best test_acc 0.8874
e 122 | malicious users: 5 | test acc 0.8315 test loss 1.159964 best test_acc 0.8874
e 123 | malicious users: 5 | test acc 0.7869 test loss 1.094145 best test_acc 0.8874
e 124 | malicious users: 5 | test acc 0.8380 test loss 1.099020 best test_acc 0.8874
e 125 | malicious users: 5 | test acc 0.8062 test loss 1.235037 best test_acc 0.8874
e 126 | malicious users: 5 | test acc 0.8289 test loss 0.890388 best test_acc 0.8874
