=> Saving data in Logs/FRL~try=999
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.1032 test loss 2.387644 best test_acc 0.1032
e 1 | malicious users: 5 | test acc 0.1855 test loss 2.638518 best test_acc 0.1855
e 2 | malicious users: 5 | test acc 0.3496 test loss 2.158320 best test_acc 0.3496
e 3 | malicious users: 5 | test acc 0.3797 test loss 1.831463 best test_acc 0.3797
e 4 | malicious users: 5 | test acc 0.3147 test loss 2.732064 best test_acc 0.3797
e 5 | malicious users: 5 | test acc 0.3109 test loss 1.885297 best test_acc 0.3797
e 6 | malicious users: 5 | test acc 0.2843 test loss 2.173161 best test_acc 0.3797
e 7 | malicious users: 5 | test acc 0.3732 test loss 2.008035 best test_acc 0.3797
e 8 | malicious users: 5 | test acc 0.2675 test loss 2.204691 best test_acc 0.3797
e 9 | malicious users: 5 | test acc 0.2969 test loss 1.770376 best test_acc 0.3797
e 10 | malicious users: 5 | test acc 0.3088 test loss 1.994947 best test_acc 0.3797
e 11 | malicious users: 5 | test acc 0.3443 test loss 1.697294 best test_acc 0.3797
e 12 | malicious users: 5 | test acc 0.6216 test loss 1.117819 best test_acc 0.6216
e 13 | malicious users: 5 | test acc 0.4951 test loss 1.996082 best test_acc 0.6216
e 14 | malicious users: 5 | test acc 0.3566 test loss 2.090888 best test_acc 0.6216
e 15 | malicious users: 5 | test acc 0.4032 test loss 1.782772 best test_acc 0.6216
e 16 | malicious users: 5 | test acc 0.3564 test loss 1.885298 best test_acc 0.6216
e 17 | malicious users: 5 | test acc 0.3365 test loss 1.843104 best test_acc 0.6216
e 18 | malicious users: 5 | test acc 0.4235 test loss 1.985408 best test_acc 0.6216
e 19 | malicious users: 5 | test acc 0.4994 test loss 1.783028 best test_acc 0.6216
e 20 | malicious users: 5 | test acc 0.5029 test loss 1.833826 best test_acc 0.6216
e 21 | malicious users: 5 | test acc 0.2186 test loss 2.177897 best test_acc 0.6216
e 22 | malicious users: 5 | test acc 0.1801 test loss 2.402489 best test_acc 0.6216
e 23 | malicious users: 5 | test acc 0.0910 test loss 2.397031 best test_acc 0.6216
e 24 | malicious users: 5 | test acc 0.1943 test loss 2.636854 best test_acc 0.6216
e 25 | malicious users: 5 | test acc 0.2589 test loss 2.215390 best test_acc 0.6216
