=> Saving data in Logs/FRL~try=1013
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.4296 test loss 2.205866 best test_acc 0.4296
e 1 | malicious users: 5 | test acc 0.5572 test loss 1.949981 best test_acc 0.5572
e 2 | malicious users: 5 | test acc 0.5363 test loss 1.698176 best test_acc 0.5572
e 3 | malicious users: 5 | test acc 0.5467 test loss 1.762225 best test_acc 0.5572
e 4 | malicious users: 5 | test acc 0.5835 test loss 1.291121 best test_acc 0.5835
e 5 | malicious users: 5 | test acc 0.5890 test loss 1.242337 best test_acc 0.5890
e 6 | malicious users: 5 | test acc 0.6771 test loss 1.153327 best test_acc 0.6771
e 7 | malicious users: 5 | test acc 0.6916 test loss 1.015681 best test_acc 0.6916
e 8 | malicious users: 5 | test acc 0.7020 test loss 0.996986 best test_acc 0.7020
e 9 | malicious users: 5 | test acc 0.7385 test loss 0.945697 best test_acc 0.7385
e 10 | malicious users: 5 | test acc 0.7303 test loss 0.897592 best test_acc 0.7385
e 11 | malicious users: 5 | test acc 0.7695 test loss 0.968589 best test_acc 0.7695
e 12 | malicious users: 5 | test acc 0.8153 test loss 0.646169 best test_acc 0.8153
e 13 | malicious users: 5 | test acc 0.7949 test loss 0.706245 best test_acc 0.8153
e 14 | malicious users: 5 | test acc 0.8019 test loss 0.763842 best test_acc 0.8153
e 15 | malicious users: 5 | test acc 0.7231 test loss 0.814150 best test_acc 0.8153
e 16 | malicious users: 5 | test acc 0.8129 test loss 0.664015 best test_acc 0.8153
e 17 | malicious users: 5 | test acc 0.8150 test loss 0.697656 best test_acc 0.8153
e 18 | malicious users: 5 | test acc 0.8546 test loss 0.691800 best test_acc 0.8546
e 19 | malicious users: 5 | test acc 0.8329 test loss 0.549402 best test_acc 0.8546
e 20 | malicious users: 5 | test acc 0.8205 test loss 0.634486 best test_acc 0.8546
e 21 | malicious users: 5 | test acc 0.8953 test loss 0.614692 best test_acc 0.8953
e 22 | malicious users: 5 | test acc 0.7765 test loss 0.768357 best test_acc 0.8953
e 23 | malicious users: 5 | test acc 0.9028 test loss 0.442829 best test_acc 0.9028
e 24 | malicious users: 5 | test acc 0.9162 test loss 0.428188 best test_acc 0.9162
e 25 | malicious users: 5 | test acc 0.9098 test loss 0.381062 best test_acc 0.9162
e 26 | malicious users: 5 | test acc 0.8202 test loss 0.712679 best test_acc 0.9162
e 27 | malicious users: 5 | test acc 0.8058 test loss 0.555767 best test_acc 0.9162
e 28 | malicious users: 5 | test acc 0.8216 test loss 0.704207 best test_acc 0.9162
e 29 | malicious users: 5 | test acc 0.9069 test loss 0.557998 best test_acc 0.9162
e 30 | malicious users: 5 | test acc 0.8712 test loss 0.491844 best test_acc 0.9162
e 31 | malicious users: 5 | test acc 0.8168 test loss 0.641287 best test_acc 0.9162
e 32 | malicious users: 5 | test acc 0.8458 test loss 0.484629 best test_acc 0.9162
