=> Saving data in Logs/FRL~try=20
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRP_defense
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.1945 test loss 2.190377 best test_acc 0.1945
e 1 | malicious users: 5 | test acc 0.5389 test loss 1.982980 best test_acc 0.5389
e 2 | malicious users: 5 | test acc 0.4775 test loss 1.767193 best test_acc 0.5389
e 3 | malicious users: 5 | test acc 0.6174 test loss 1.613891 best test_acc 0.6174
e 4 | malicious users: 5 | test acc 0.7213 test loss 1.080248 best test_acc 0.7213
e 5 | malicious users: 5 | test acc 0.7088 test loss 1.299513 best test_acc 0.7213
e 6 | malicious users: 5 | test acc 0.7674 test loss 0.883276 best test_acc 0.7674
e 7 | malicious users: 5 | test acc 0.7039 test loss 0.883841 best test_acc 0.7674
e 8 | malicious users: 5 | test acc 0.7597 test loss 0.926345 best test_acc 0.7674
e 9 | malicious users: 5 | test acc 0.8493 test loss 0.758757 best test_acc 0.8493
e 10 | malicious users: 5 | test acc 0.7815 test loss 0.746007 best test_acc 0.8493
e 11 | malicious users: 5 | test acc 0.7196 test loss 0.848893 best test_acc 0.8493
e 12 | malicious users: 5 | test acc 0.8712 test loss 0.705060 best test_acc 0.8712
e 13 | malicious users: 5 | test acc 0.8147 test loss 0.674242 best test_acc 0.8712
e 14 | malicious users: 5 | test acc 0.8089 test loss 0.634744 best test_acc 0.8712
e 15 | malicious users: 5 | test acc 0.7884 test loss 0.672345 best test_acc 0.8712
e 16 | malicious users: 5 | test acc 0.8378 test loss 0.592378 best test_acc 0.8712
e 17 | malicious users: 5 | test acc 0.8369 test loss 0.493971 best test_acc 0.8712
e 18 | malicious users: 5 | test acc 0.7645 test loss 0.720930 best test_acc 0.8712
e 19 | malicious users: 5 | test acc 0.7893 test loss 0.640497 best test_acc 0.8712
e 20 | malicious users: 5 | test acc 0.8848 test loss 0.419976 best test_acc 0.8848
e 21 | malicious users: 5 | test acc 0.8809 test loss 0.541211 best test_acc 0.8848
e 22 | malicious users: 5 | test acc 0.8552 test loss 0.479108 best test_acc 0.8848
e 23 | malicious users: 5 | test acc 0.8588 test loss 0.449294 best test_acc 0.8848
e 24 | malicious users: 5 | test acc 0.9050 test loss 0.474378 best test_acc 0.9050
e 25 | malicious users: 5 | test acc 0.8447 test loss 0.487233 best test_acc 0.9050
e 26 | malicious users: 5 | test acc 0.9012 test loss 0.412387 best test_acc 0.9050
e 27 | malicious users: 5 | test acc 0.8392 test loss 0.465297 best test_acc 0.9050
e 28 | malicious users: 5 | test acc 0.8477 test loss 0.477240 best test_acc 0.9050
e 29 | malicious users: 5 | test acc 0.8403 test loss 0.554630 best test_acc 0.9050
e 30 | malicious users: 5 | test acc 0.8509 test loss 0.656429 best test_acc 0.9050
e 31 | malicious users: 5 | test acc 0.9270 test loss 0.266956 best test_acc 0.9270
e 32 | malicious users: 5 | test acc 0.7129 test loss 0.839890 best test_acc 0.9270
e 33 | malicious users: 5 | test acc 0.9009 test loss 0.423071 best test_acc 0.9270
e 34 | malicious users: 5 | test acc 0.9322 test loss 0.357550 best test_acc 0.9322
e 35 | malicious users: 5 | test acc 0.8254 test loss 0.464868 best test_acc 0.9322
e 36 | malicious users: 5 | test acc 0.8639 test loss 0.462140 best test_acc 0.9322
e 37 | malicious users: 5 | test acc 0.9141 test loss 0.394242 best test_acc 0.9322
e 38 | malicious users: 5 | test acc 0.8054 test loss 0.588705 best test_acc 0.9322
e 39 | malicious users: 5 | test acc 0.8535 test loss 0.464041 best test_acc 0.9322
e 40 | malicious users: 5 | test acc 0.9182 test loss 0.368565 best test_acc 0.9322
e 41 | malicious users: 5 | test acc 0.9401 test loss 0.256870 best test_acc 0.9401
e 42 | malicious users: 5 | test acc 0.8115 test loss 0.583785 best test_acc 0.9401
e 43 | malicious users: 5 | test acc 0.9153 test loss 0.323589 best test_acc 0.9401
e 44 | malicious users: 5 | test acc 0.8632 test loss 0.409633 best test_acc 0.9401
e 45 | malicious users: 5 | test acc 0.9325 test loss 0.408494 best test_acc 0.9401
e 46 | malicious users: 5 | test acc 0.8708 test loss 0.474166 best test_acc 0.9401
e 47 | malicious users: 5 | test acc 0.8518 test loss 0.471874 best test_acc 0.9401
e 48 | malicious users: 5 | test acc 0.9375 test loss 0.262068 best test_acc 0.9401
e 49 | malicious users: 5 | test acc 0.8848 test loss 0.413514 best test_acc 0.9401
